Country.FuelCode,CountryCode,FuelType,Year,PrimaryEnergyInputToPower.ktoe,PowerOutput.GWh,PrimaryEnergyInputToPower.MWy,PowerOutput.MWy,Capacity.MW,CapacityFactor,ThermalEfficiency,AvailabilityFactor,LCOE.TotalCalc.USD_kWh,LCOE.Var.USD_kWh,VarOpex.USD_kWh,LCOE.Fixed.USD_kWh,CapEx.USD_kW
ago.coa,AGO,coa,2018,0,0,0,0,0,0.65875,0.357142857,0.9,0.094309193,0.051687206,0.00404375,0.042621987,1793.75
ago.nga,AGO,nga,2018,0,0,0,0,1184,0.605238095,0.444415819,0.9,0.074743479,0.050495938,0.003238095,0.024247542,944.2857143
ago.oil,AGO,oil,2018,1927,3001,2556.635888,342.5799087,1443.38,0.237345611,0.133996362,0,0.188070568,0.120453488,0.005,0.06761708,2330
ago.nuc,AGO,nuc,2018,0,0,0,0,0,0.902222222,0.33,0,0.174007691,0.003933333,0.003933333,0.170074358,7644.444444
ago.wnd,AGO,wnd,2018,0,0,0,0,0,0.346428571,1,0,0.067947992,0.002910714,0.002910714,0.065037278,1655.357143
ago.sol,AGO,sol,2018,0,0,0,0,13,0.177419355,1,0,0.077021936,0,0,0.077021936,967.0967742
ago.hyd,AGO,hyd,2018,751,8734,996.384822,997.0319635,2699,0.369407915,1,0,0.079959769,9.33E-04,9.33E-04,0.079026435,4293.333333
ago.ore,AGO,ore,2018,0,0,0,0,0,0.400171531,1,0,0.149953131,0.002562698,0.002562698,0.147390433,4610.524834
ago.bio,AGO,bio,2018,0,0,0,0,0,0.771818182,0.35,0,0.167742993,0.105722588,0.007963636,0.062020405,2988.181818
alb.coa,ALB,coa,2018,0,0,0,0,0,0.65875,0.357142857,0.9,0.094309193,0.051687206,0.00404375,0.042621987,1793.75
alb.nga,ALB,nga,2018,0,0,0,0,0,0.605238095,0.444415819,0.9,0.074743479,0.050495938,0.003238095,0.024247542,944.2857143
alb.oil,ALB,oil,2018,0,0,0,0,98,0.45,0.323193916,0,0.188070568,0.120453488,0.005,0.06761708,2330
alb.nuc,ALB,nuc,2018,0,0,0,0,0,0.902222222,0.33,0,0.174007691,0.003933333,0.003933333,0.170074358,7644.444444
alb.wnd,ALB,wnd,2018,0,0,0,0,0,0.346428571,1,0,0.067947992,0.002910714,0.002910714,0.065037278,1655.357143
alb.sol,ALB,sol,2018,0,1,0,0.114155251,1,0.114155251,1,0,0.077021936,0,0,0.077021936,967.0967742
alb.hyd,ALB,hyd,2018,735,8552,975.1569163,976.2557078,2105,0.463779434,1,0,0.079959769,0.000933333,0.000933333,0.079026435,4293.333333
