Country.FuelCode,CountryCode,FuelType,Year,PrimaryEnergyInputToPower.ktoe,PowerOutput.GWh,Capacity.MW,PowerOutput.MWy,PrimaryEnergyInputToPower.MWy,CapacityFactor,ThermalEfficiency,AvailabilityFactor,LCOE.TotalCalc.USD_kWh,LCOE.Var.USD_kWh,VarOpex.USD_kWh,LCOE.Fixed.USD_kWh,CapEx.USD_kW
ago.coa,AGO,coa,2018,-0,0,0,0,-0,0.6726666666666666,0.35936507936507933,0.9,0.08911454656189009,0.04815889869801486,0.00398,0.04095564786387523,1758
ago.nga,AGO,nga,2018,-0,0,1184,0,-0,0.608,0.44454463480613166,0.9,0.07603187264388978,0.05159324445771378,0.003275,0.024438628186176006,944.5
ago.oil,AGO,oil,2018,1927,3001,1443.38,342.57990867579906,2556.6358880287303,0.25111301725762797,0.14176891928430993,0,NA,NA,NA,NA,NA
ago.nuc,AGO,nuc,2018,-0,0,0,0,-0,0.9,0.33,0,0.17679620487006686,0.00405,0.00405,0.17274620487006684,7251.25
ago.wnd,AGO,wnd,2018,-0,0,0,0,-0,0.3437037037037037,1,0,0.06889577404391473,0.0030185185185185185,0.0030185185185185185,0.06587725552539621,1664.8148148148148
ago.sol,AGO,sol,2018,-0,0,13,0,-0,0.17733333333333334,1,0,0.07744859670739546,0,0,0.07744859670739546,965
ago.hyd,AGO,hyd,2018,751,8734,2699,997.0319634703196,996.3848219561891,0.3519785147890052,0.9534368554013322,0,0.09444005941478263,7e-4,7e-4,0.09374005941478264,4925
ago.ore,AGO,ore,2018,-0,0,0,0,-0,NA,NA,0,NA,NA,NA,NA,NA
ago.ore,AGO,ore,2018,-0,0,0,0,-0,0.3870123456790123,1,0,0.16052295344406187,0.0024790123456790124,0.0024790123456790124,0.15804394109838288,5036.543209876543
ago.bio,AGO,bio,2018,-0,0,0,0,-0,0.761,0.35,0,0.17909624203225066,0.11831214678857142,0.00849,0.06078409524367925,2937
alb.coa,ALB,coa,2018,-0,0,0,0,-0,0.6726666666666666,0.35936507936507933,0.9,0.08911454656189009,0.04815889869801486,0.00398,0.04095564786387523,1758
alb.nga,ALB,nga,2018,-0,0,0,0,-0,0.608,0.44454463480613166,0.9,0.07603187264388978,0.05159324445771378,0.003275,0.024438628186176006,944.5
alb.oil,ALB,oil,2018,-0,0,98,0,-0,NA,NA,0,NA,NA,NA,NA,NA
alb.nuc,ALB,nuc,2018,-0,0,0,0,-0,0.9,0.33,0,0.17679620487006686,0.00405,0.00405,0.17274620487006684,7251.25
alb.wnd,ALB,wnd,2018,-0,0,0,0,-0,0.3437037037037037,1,0,0.06889577404391473,0.0030185185185185185,0.0030185185185185185,0.06587725552539621,1664.8148148148148
alb.sol,ALB,sol,2018,-0,1,1,0.1141552511415525,-0,0.2511415525114155,1,0,0.07744859670739546,0,0,0.07744859670739546,965
alb.hyd,ALB,hyd,2018,735,8552,2105,976.2557077625571,975.1569162953382,0.4637875627718305,1,0,0.09444005941478263,7e-4,7e-4,0.09374005941478264,4925
alb.ore,ALB,ore,2018,-0,0,0,0,-0,NA,NA,0,NA,NA,NA,NA,NA
alb.ore,ALB,ore,2018,-0,0,0,0,-0,0.3870123456790123,1,0,0.16052295344406187,0.0024790123456790124,0.0024790123456790124,0.15804394109838288,5036.543209876543
alb.bio,ALB,bio,2018,-0,0,0,0,-0,0.761,0.35,0,0.17909624203225066,0.11831214678857142,0.00849,0.06078409524367925,2937
are.coa,ARE,coa,2018,-0,0,0,0,-0,0.6726666666666666,0.35936507936507933,0.9,0.08911454656189009,0.04815889869801486,0.00398,0.04095564786387523,1758
are.nga,ARE,nga,2018,29767,133739,32371,15267.009132420091,39493.19173790929,0.4692229935074928,0.384603443136023,0.9,0.0662817113136307,0.0469414384475,0.003,0.019340272866130687,1110
are.oil,ARE,oil,2018,242,953,500,108.78995433789954,321.07207312036985,0.3493150684931507,0.543982329416412,0,NA,NA,NA,NA,NA
are.nuc,ARE,nuc,2018,-0,0,0,0,-0,0.91,0.33,0,0.06532159574534824,0.0032,0.0032,0.06212159574534824,4690
are.wnd,ARE,wnd,2018,-0,1,1,0.1141552511415525,-0,0.3437037037037037,1,0,0.06889577404391473,0.0030185185185185185,0.0030185185185185185,0.06587725552539621,1664.8148148148148
are.sol,ARE,sol,2018,153,1303,594,148.74429223744292,202.99184788188674,0.27081847777624035,0.7924760401840801,0,0.06093691148475135,0,0,0.06093691148475135,870
are.hyd,ARE,hyd,2018,-0,0,0,0,-0,0.64,1,0,0.09444005941478263,7e-4,7e-4,0.09374005941478264,4925
are.ore,ARE,ore,2018,-0,0,0,0,-0,NA,NA,0,NA,NA,NA,NA,NA
are.ore,ARE,ore,2018,-0,0,0,0,-0,0.39123456790123456,1,0,0.14951516329563247,0.0024790123456790124,0.0024790123456790124,0.14703615094995345,4973.20987654321
are.bio,ARE,bio,2018,-0,0,0,0,-0,0.761,0.35,0,0.17909624203225066,0.11831214678857142,0.00849,0.06078409524367925,2937
arg.coa,ARG,coa,2018,537,2283,930,260.6164383561644,712.4615837423084,0.3052161707664359,0.39840890412900076,0.9,0.08911454656189009,0.04815889869801486,0.00398,0.04095564786387523,1758
arg.nga,ARG,nga,2018,16567,95357,24072.5,10885.502283105023,21980.1695677073,0.4123413741119743,0.4515928640920794,0.9,0.07603187264388978,0.05159324445771378,0.003275,0.024438628186176006,944.5
arg.oil,ARG,oil,2018,1584,6811,2913,777.5114155251141,2101.562660424239,0.25570846794482927,0.35444042718808116,0,NA,NA,NA,NA,NA
arg.nuc,ARG,nuc,2018,1798,6902,1627,787.8995433789954,2385.4858986381196,0.4921203478402416,0.3356464217177655,0,0.17679620487006686,0.00405,0.00405,0.17274620487006684,7251.25
arg.wnd,ARG,wnd,2018,121,1413,750,161.3013698630137,160.53603656018493,0.21502937595129376,1,0,0.05869487729588764,0,0,0.05869487729588764,1540
arg.sol,ARG,sol,2018,9,108,190.63,12.32876712328767,11.940696934228633,0.06474386658800417,1,0,0.13579403292252848,0,0,0.13579403292252848,1100
arg.hyd,ARG,hyd,2018,2776,32285,11288.32,3685.502283105023,3683.0416321576313,0.4076684176663503,1,0,0.09444005941478263,7e-4,7e-4,0.09374005941478264,4925
arg.ore,ARG,ore,2018,42,145,0,16.552511415525114,55.72325235973361,NA,NA,0,NA,NA,NA,NA,NA
arg.ore,ARG,ore,2018,42,145,0,16.552511415525114,55.72325235973361,0.43333333333333335,1,0,0.19261931308879918,4.6666666666666666e-4,4.6666666666666666e-4,0.1921526464221325,5043.333333333333
arg.bio,ARG,bio,2018,548,1215,653,138.6986301369863,727.0557688841433,0.3354092457012594,0.301245443357212,0,0.17909624203225066,0.11831214678857142,0.00849,0.06078409524367925,2937
arm.coa,ARM,coa,2018,-0,0,0,0,-0,0.6726666666666666,0.35936507936507933,0.9,0.08911454656189009,0.04815889869801486,0.00398,0.04095564786387523,1758
arm.nga,ARM,nga,2018,632,3376,2390,385.38812785388126,838.5022736036107,0.16122554498385586,0.4595444337382608,0.9,0.07603187264388978,0.05159324445771378,0.003275,0.024438628186176006,944.5
arm.oil,ARM,oil,2018,-0,0,0,0,-0,NA,NA,0,NA,NA,NA,NA,NA
arm.nuc,ARM,nuc,2018,541,2076,407.5,236.986301369863,717.7685601575212,0.5815894893128274,0.3301868179388712,0,0.17679620487006686,0.00405,0.00405,0.17274620487006684,7251.25
arm.wnd,ARM,wnd,2018,-0,2,11.8,0.228310502283105,-0,0.016271960374584008,1,0,0.06889577404391473,0.0030185185185185185,0.0030185185185185185,0.06587725552539621,1664.8148148148148
arm.sol,ARM,sol,2018,2,19,17,2.1689497716894977,2.653488207606362,0.051573999462798815,0.330417142369168,0,0.07744859670739546,0,0,0.07744859670739546,965
arm.hyd,ARM,hyd,2018,199,2318,1336.4,264.61187214611874,264.02207665683306,0.19802930998429638,1,0,0.09444005941478263,7e-4,7e-4,0.09374005941478264,4925
arm.ore,ARM,ore,2018,-0,0,0,0,-0,NA,NA,0,NA,NA,NA,NA,NA
arm.ore,ARM,ore,2018,-0,0,0,0,-0,0.3870123456790123,1,0,0.16052295344406187,0.0024790123456790124,0.0024790123456790124,0.15804394109838288,5036.543209876543
arm.bio,ARM,bio,2018,-0,0,0,0,-0,0.761,0.35,0,0.17909624203225066,0.11831214678857142,0.00849,0.06078409524367925,2937
aus.coa,AUS,coa,2018,37593,157711,25150,18003.538812785388,49876.291094272994,0.7158434012364171,0.36096231588405187,0.9,0.11352823086582844,0.04568801115289474,0.0022,0.0678402197129337,1980
aus.nga,AUS,nga,2018,12302,53817,18331,6143.493150684932,16321.605964986737,0.33554669784871743,0.3768566972796563,0.9,0.08248467104095097,0.0518567535233,0.0044,0.030627917517650975,1060
aus.oil,AUS,oil,2018,1138,4838,1878,552.283105022831,1509.8347901280204,0.2981144992973191,0.3708081396328761,0,NA,NA,NA,NA,NA
aus.nuc,AUS,nuc,2018,-0,0,0,0,-0,0.9,0.33,0,0.17679620487006686,0.00405,0.00405,0.17274620487006684,7251.25
aus.wnd,AUS,wnd,2018,1304,15164,5818,1731.0502283105022,1730.0743113593483,0.2977384604698691,1,0,0.05298401641552035,0.005900000000000001,0.005900000000000001,0.04708401641552035,1480
aus.sol,AUS,sol,2018,854,9929,11305,1133.447488584475,1133.039464647917,0.1002884124089434,1,0,0.04958440171539371,0,0,0.04958440171539371,780
aus.hyd,AUS,hyd,2018,1361,15831,8725,1807.1917808219177,1805.6987252761296,0.2096125943661603,1,0,0.09444005941478263,7e-4,7e-4,0.09374005941478264,4925
aus.ore,AUS,ore,2018,350,1254,1,143.15068493150685,464.3604363311134,NA,NA,0,NA,NA,NA,NA,NA
aus.ore,AUS,ore,2018,350,1254,1,143.15068493150685,464.3604363311134,0.41000000000000003,1,0,0.13133898503046446,0.0044,0.0044,0.12693898503046447,4790
aus.bio,AUS,bio,2018,807,2264,709,258.4474885844749,1070.6824917691672,0.5662901153467164,0.3749941694828637,0,0.17909624203225066,0.11831214678857142,0.00849,0.06078409524367925,2937
aut.coa,AUT,coa,2018,816,3620,1187,413.2420091324201,1082.6231887033957,0.3481155247294703,0.3816776992822094,0.9,0.08911454656189009,0.04815889869801486,0.00398,0.04095564786387523,1758
aut.nga,AUT,nga,2018,1951,9918,5228.336,1132.1917808219177,2588.477746520007,0.21503433122121787,0.4343370294263906,0.9,0.07603187264388978,0.05159324445771378,0.003275,0.024438628186176006,944.5
aut.oil,AUT,oil,2018,318,716,704.406,81.7351598173516,421.9046250094117,0.11627319871322134,0.1941280895201334,0,NA,NA,NA,NA,NA
aut.nuc,AUT,nuc,2018,-0,0,0,0,-0,0.9,0.33,0,0.17679620487006686,0.00405,0.00405,0.17274620487006684,7251.25
aut.wnd,AUT,wnd,2018,519,6030,2877.5,688.3561643835617,688.580189873851,0.2392284850576628,0.9997092217821965,0,0.06889577404391473,0.0030185185185185185,0.0030185185185185185,0.06587725552539621,1664.8148148148148
aut.sol,AUT,sol,2018,124,1438,1437.6,164.1552511415525,164.51626887159446,0.11415850682136389,0.9975564759159745,0,0.07744859670739546,0,0,0.07744859670739546,965
aut.hyd,AUT,hyd,2018,3236,37638,14516.246,4296.575342465753,4293.3439199070945,0.3258693616346539,1,0,0.09444005941478263,7e-4,7e-4,0.09374005941478264,4925
aut.ore,AUT,ore,2018,683,1681,1,191.89497716894977,906.1662228975729,0.02728310502283105,NA,0,NA,NA,NA,NA,NA
aut.ore,AUT,ore,2018,683,1681,1,191.89497716894977,906.1662228975729,0.02728310502283105,1,0,0.16052295344406187,0.0024790123456790124,0.0024790123456790124,0.15804394109838288,5036.543209876543
aut.bio,AUT,bio,2018,983,3966,1734,452.73972602739724,1304.1894540385272,0.37166184765606486,0.4941472589277496,0,0.17909624203225066,0.11831214678857142,0.00849,0.06078409524367925,2937
aze.coa,AZE,coa,2018,-0,0,0,0,-0,0.6726666666666666,0.35936507936507933,0.9,0.08911454656189009,0.04815889869801486,0.00398,0.04095564786387523,1758
aze.nga,AZE,nga,2018,4996,23128,3070,2640.1826484018266,6628.413542600693,0.8599980664257135,0.39831462641225707,0.9,0.07603187264388978,0.05159324445771378,0.003275,0.024438628186176006,944.5
aze.oil,AZE,oil,2018,13,49,3482.2,5.593607305936073,17.247673349441357,NA,0.3236489738485639,0,NA,NA,NA,NA,NA
aze.nuc,AZE,nuc,2018,-0,0,0,0,-0,0.9,0.33,0,0.17679620487006686,0.00405,0.00405,0.17274620487006684,7251.25
aze.wnd,AZE,wnd,2018,7,83,66,9.474885844748858,9.287208726622268,0.1430399889303999,1,0,0.06889577404391473,0.0030185185185185185,0.0030185185185185185,0.06587725552539621,1664.8148148148148
aze.sol,AZE,sol,2018,3,39,34.9,4.4520547945205475,3.9802323114095435,0.12854731718805198,1,0,0.07744859670739546,0,0,0.07744859670739546,965
aze.hyd,AZE,hyd,2018,152,1768,1130.8,201.82648401826484,201.66510377808356,0.1784811496447337,1,0,0.09444005941478263,7e-4,7e-4,0.09374005941478264,4925
aze.ore,AZE,ore,2018,71,162,0,18.493150684931507,94.19883137002587,NA,NA,0,NA,NA,NA,NA,NA
aze.ore,AZE,ore,2018,71,162,0,18.493150684931507,94.19883137002587,0.3870123456790123,1,0,0.16052295344406187,0.0024790123456790124,0.0024790123456790124,0.15804394109838288,5036.543209876543
aze.bio,AZE,bio,2018,-0,0,45,0,-0,0.41146626078132925,0.35,0,0.17909624203225066,0.11831214678857142,0.00849,0.06078409524367925,2937
bel.coa,BEL,coa,2018,468,2345,1006.5,267.69406392694066,620.9162405798887,0.264403126254687,0.42859524229355783,0.9,0.08911454656189009,0.04815889869801486,0.00398,0.04095564786387523,1758
bel.nga,BEL,nga,2018,3784,23982,4178,2737.671232876712,5020.399688791237,0.6408364754716487,0.533307099133613,0.9,0.07603187264388978,0.05159324445771378,0.003275,0.024438628186176006,944.5
bel.oil,BEL,oil,2018,31,161,1666.9,18.378995433789953,41.129067217898616,0.011272394467514274,0.4568534034178753,0,NA,NA,NA,NA,NA
bel.nuc,BEL,nuc,2018,7451,28597,5919,3264.497716894977,9885.570317437505,0.5492037193898451,0.32883654768348614,0,0.17679620487006686,0.00405,0.00405,0.17274620487006684,7251.25
